iter	Passed	Remaining
672	57723	28047
673	57814	27963
674	57905	27880
675	58001	27799
676	58097	27718
677	58192	27637
678	58284	27554
679	58382	27473
680	58474	27390
681	58569	27309
682	58661	27226
683	58755	27144
684	58848	27061
685	58941	26979
686	59035	26896
687	59067	26786
688	59162	26704
689	59255	26622
690	59349	26539
691	59443	26457
692	59537	26375
693	59632	26293
694	59725	26210
695	59817	26127
696	59913	26045
697	60006	25962
698	60097	25878
699	60191	25796
700	60284	25713
701	60381	25632
702	60474	25548
703	60569	25466
704	60660	25382
705	60752	25299
706	60848	25217
707	60949	25137
708	61045	25055
709	61140	24972
710	61232	24889
711	61324	24805
712	61420	24723
713	61513	24639
714	61605	24556
715	61701	24473
716	61791	24389
717	61891	24308
718	61991	24227
719	62083	24143
720	62179	24061
721	62271	23977
722	62365	23893
723	62459	23810
724	62551	23726
725	62643	23642
726	62734	23557
727	62830	23475
728	62922	23390
729	63014	23306
730	63106	23222
731	63197	23138
732	63287	23052
733	63302	22940
734	63395	22856
735	63487	22772
736	63579	22688
737	63679	22607
738	63772	22523
739	63864	22438
740	63955	22354
741	64047	22269
742	64141	22186
743	64231	22101
744	64325	22017
745	64423	21934
746	64517	21851
747	64612	21767
748	64702	21682
749	64794	21598
750	64830	21495
751	64934	21414
752	65027	21330
753	65125	21247
754	65217	21163
755	65310	21078
756	65405	20995
757	65503	20912
758	65596	20828
759	65694	20745
760	65786	20661
761	65877	20576
762	65969	20491
763	66061	20406
764	66156	20322
765	66252	20239
